material_id,exp,mp,diff
mp-2359,-0.57,-0.701154,0.131154
mp-542632,-0.2674,-0.398177,0.130777
mp-1161,-1.864657,-1.994314,0.129657
mp-630528,-0.693826,-0.823121,0.129295
mp-27953,-0.239948,-0.368362,0.128414
mp-8365,-0.371,-0.499127,0.128127
mp-555908,-2.325051,-2.449579,0.124528
mp-568077,-0.0653,-0.189444,0.124144
mp-25470,-1.82834,-1.951326,0.122986
mp-30746,-0.683,-0.804685,0.121685
mp-1129,-0.9297,-1.051106,0.121406
mp-1058159,-1.042905,-1.163763,0.120858
mp-571183,-0.0228,-0.143413,0.120613
mp-1182,-0.7141,-0.833046,0.118946
mp-2311,-2.174709,-2.293447,0.118738
mp-1008223,-1.908021,-2.025386,0.117365
mp-30836,-0.3741,-0.490128,0.116028
mp-19276,-2.604023,-2.719586,0.115563
mp-421,-0.3379,-0.45254,0.11464
mp-11561,-0.7493,-0.863925,0.114625
mp-1451,-0.1741,-0.288237,0.114137
mp-35432,-2.14801,-2.261374,0.113364
mp-1702,-0.5959,-0.709252,0.113352
mp-2738,-0.3462,-0.458273,0.112073
mp-1388,-0.6457,-0.757291,0.111591
mp-642682,-1.43787,-1.548782,0.110912
mp-1079029,-1.344246,-1.454614,0.110368
mp-871,-0.4001,-0.510359,0.110259
mp-23267,-1.714326,-1.824579,0.110253
mp-1882,-0.013474,-0.122966,0.109492
mp-865088,-0.2218,-0.331274,0.109474
mp-22113,-2.463564,-2.572213,0.108649
mp-1529,-0.8861,-0.994006,0.107906
mp-1697,-1.0022,-1.108771,0.106571
mp-2379,-0.3617,-0.468113,0.106413
mp-9371,-4.388439,-4.493422,0.104983
mp-585949,-0.042939,-0.146746,0.103807
mp-7577,-0.511,-0.614594,0.103594
mp-542614,-0.0674,-0.170982,0.103582
mp-232,-0.7929,-0.895577,0.102677
mp-1078520,-2.589914,-2.691959,0.102045
mp-474,-0.0197,-0.12142,0.10172
mvc-6390,-2.035888,-2.136957,0.101069
mp-1244927,-0.568071,-0.668331,0.10026
mp-1108,-0.5524,-0.652593,0.100193
mp-30657,-0.4405,-0.539754,0.099254
mp-1469,-0.331922,-0.430716,0.098794
mp-7188,-0.4654,-0.563704,0.098304
mp-20466,-0.1555,-0.2528,0.0973
mp-554549,-2.664281,-2.761469,0.097188
mp-1198150,-0.29054,-0.387665,0.097125
mp-1018157,-0.60631,-0.702841,0.096531
mp-32798,-1.934039,-2.030102,0.096063
mp-1222,-0.2674,-0.362751,0.095351
mp-12614,-0.020065,-0.115366,0.095301
mp-1364,-0.341,-0.436001,0.095001
mp-30415,-0.6654,-0.760241,0.094841
mp-2363,-0.0663,-0.16067,0.09437
mp-2221,-0.0152,-0.109097,0.093897
mp-569220,-0.2715,-0.364782,0.093282
mp-1105699,-1.913244,-2.006187,0.092943
mp-22849,-0.390277,-0.48303,0.092753
mp-1183246,-0.029538,-0.121441,0.091903
mp-1761,-0.7359,-0.827661,0.091761
mp-643084,-3.813015,-3.904575,0.09156
mp-11239,-0.0323,-0.122969,0.090669
mp-11428,-1.1328,-1.223326,0.090526
mvc-11096,-1.929309,-2.018162,0.088853
mp-1913,-0.9701,-1.058854,0.088754
mp-2658,-0.2436,-0.332047,0.088447
mp-1358,-0.7245,-0.812567,0.088067
mp-1449,-2.301401,-2.388821,0.08742
mp-1948,-0.1752,-0.261738,0.086538
mp-2092,-0.7566,-0.843015,0.086415
mp-7466,-1.646029,-1.731989,0.08596
mp-1042,-0.7348,-0.820725,0.085925
mp-1101972,-2.419718,-2.505522,0.085804
mp-20893,-2.00342,-2.089081,0.085661
mp-1299,-0.6395,-0.723759,0.084259
mp-2403,-0.9007,-0.984654,0.083954
mp-30339,-0.2487,-0.332552,0.083852
mp-768203,-0.06564,-0.149158,0.083518
mp-9938,-0.661085,-0.74437,0.083285
mp-27725,0.006505,-0.076327,0.082832
mp-1310,-0.6675,-0.749302,0.081802
mp-30867,-0.4612,-0.541694,0.080494
mp-1518,-0.5721,-0.650702,0.078602
mp-8780,-0.435299,-0.513785,0.078486
mp-1915,-0.2342,-0.31252,0.07832
mp-850,-0.4457,-0.523157,0.077457
mp-635,-0.5358,-0.613011,0.077211
mp-1018131,-0.2653,-0.342223,0.076923
mp-35596,-1.605707,-1.682462,0.076755
mp-3944,-0.5203,-0.596571,0.076271
mp-19455,-2.057843,-2.133875,0.076032
mp-1016873,-3.75539,-3.831338,0.075948
mp-543019,-0.3317,-0.407074,0.075374
mp-12678,-0.1503,-0.225639,0.075339
mp-568115,-0.7431,-0.817745,0.074645
mp-1018149,-0.18,-0.254429,0.074429
mp-1926,-0.0269,-0.101305,0.074405
mp-30359,-0.2622,-0.336452,0.074252
mp-1179,-0.2601,-0.334336,0.074236
mp-1463,-0.6519,-0.725619,0.073719
mp-567677,-0.269471,-0.342953,0.073482
mp-481,-0.9805,-1.053283,0.072783
mp-1974,-0.5545,-0.626982,0.072482
mp-2109,-0.939,-1.011382,0.072382
mp-33239,-2.051122,-2.123101,0.071979
mp-553942,-0.274639,-0.346054,0.071415
mp-21394,-3.05746,-3.128739,0.071279
mp-2725,-0.7317,-0.802974,0.071274
mp-977426,-0.0767,-0.147013,0.070313
mp-1728,-0.7058,-0.775521,0.069721
mp-191,-0.7887,-0.858278,0.069578
mp-20318,-0.3285,-0.397635,0.069135
mp-20211,-0.231177,-0.300289,0.069112
mp-450,-0.625,-0.693476,0.068476
mp-670,-0.0684,-0.136159,0.067759
mp-34202,-0.167901,-0.235552,0.067651
mp-541991,-1.57484,-1.642366,0.067526
mp-645158,-2.954024,-3.021536,0.067512
mp-2049,-0.0601,-0.127381,0.067281
mp-1212889,-4.384112,-4.4509,0.066788
mp-729,-0.2819,-0.34851,0.06661
mp-570858,-0.658484,-0.724227,0.065743
mp-1757,-0.0166,-0.082291,0.065691
mp-30658,-0.2228,-0.288148,0.065348
mp-585,-0.2187,-0.283571,0.064871
mp-11564,-0.9214,-0.985615,0.064215
mp-32586,-2.39369,-2.457379,0.063689
mp-20418,-0.6623,-0.725884,0.063584
mp-921,-0.6778,-0.740912,0.063112
mp-5869,-2.47523,-2.537816,0.062586
mp-351,-0.4394,-0.501928,0.062528
mp-11241,-0.8063,-0.868782,0.062482
mp-5529,-0.2653,-0.327601,0.062301
mp-570140,-0.073719,-0.135941,0.062222
mp-1780,-0.9794,-1.04158,0.06218
mp-5921,-0.4011,-0.463265,0.062165
mp-560338,-3.005638,-3.066987,0.061349
mp-1570,-0.0021,-0.063116,0.061016
mp-1094164,-0.051018,-0.11181,0.060792
mp-1620,-0.2829,-0.343414,0.060514
mp-361,-0.589381,-0.649591,0.06021
mp-19905,-0.3928,-0.452886,0.060086
mp-570325,-0.041196,-0.100867,0.059671
mp-1061,-0.9691,-1.028652,0.059552
mp-31139,-0.3814,-0.440189,0.058789
mp-2474,-0.2778,-0.336419,0.058619
mp-29111,-0.3716,-0.430199,0.058599
mp-999339,-0.2591,-0.317591,0.058491
mp-32906,-2.532468,-2.590559,0.058091
mp-2698,-0.2021,-0.259995,0.057895
mp-1422,-1.0364,-1.093874,0.057474
mp-19047,-2.419712,-2.476799,0.057087
mp-568301,-0.715508,-0.772588,0.05708
mp-1431,-0.4084,-0.465366,0.056966
mp-2263,-0.6871,-0.743233,0.056133
mp-2536,-0.2342,-0.289943,0.055743
mp-1169,-0.2161,-0.271574,0.055474
mp-30595,-0.3016,-0.356565,0.054965
mp-195,-0.9877,-1.042216,0.054516
mp-1236,-0.2052,-0.259349,0.054149
mp-10711,-0.4319,-0.486016,0.054116
mp-696,-0.6177,-0.671423,0.053723
mp-11449,-0.2104,-0.264029,0.053629
mp-999544,-0.2757,-0.32922,0.05352
mvc-5834,-2.009204,-2.062565,0.053361
mp-1013524,-0.893396,-0.946282,0.052886
mp-20089,-0.0187,-0.071465,0.052765
mp-570670,-0.257,-0.3089,0.0519
mp-1910,-0.2912,-0.34175,0.05055
mp-2051,-0.1675,-0.217822,0.050322
mp-1002115,-0.7898,-0.839872,0.050072
mvc-13536,-2.584497,-2.634522,0.050025
mp-542569,-0.6436,-0.693583,0.049983
mp-189,-0.6022,-0.651745,0.049545
mp-284,-0.5535,-0.602788,0.049288
mp-22463,-0.2954,-0.344615,0.049215
mp-637,-0.5421,-0.590639,0.048539
mp-2721,-3.730515,-3.778973,0.048458
mp-1017985,-0.0166,-0.064921,0.048321
mp-864699,-0.4602,-0.50839,0.04819
mp-10032,-0.0383,-0.08638,0.04808
mp-1742,-0.7504,-0.79845,0.04805
mp-36465,-2.932896,-2.980549,0.047653
mp-23713,-0.611492,-0.658717,0.047225
mp-928,-0.7711,-0.818274,0.047174
mp-559,-0.8188,-0.865903,0.047103
mp-2381,-0.9058,-0.952868,0.047068
mp-570293,-0.2747,-0.321627,0.046927
mp-1409,-0.4374,-0.484231,0.046831
mp-23218,-0.150691,-0.197216,0.046525
mp-2713,-0.8592,-0.905711,0.046511
mp-20084,-0.6778,-0.724108,0.046308
mp-7283,-0.5255,-0.5717,0.0462
mp-12586,-0.1285,-0.174357,0.045857
mp-530381,-2.885576,-2.93111,0.045534
mp-818,-0.7773,-0.822748,0.045448
mp-542633,-0.1213,-0.166295,0.044995
mp-1306224,-1.983475,-2.028327,0.044852
mp-2290,-0.6208,-0.665639,0.044839
mp-571642,-2.747879,-2.792667,0.044788
mp-1205986,0.021682,-0.022675,0.044357
mp-1762,-0.7234,-0.767702,0.044302
mp-12174,-0.4954,-0.539597,0.044197
mp-1228854,-0.613601,-0.657566,0.043965
